Captain's name,Crew deaths during voyage,Crew at first landing of captives,Crew at voyage outset,Date vessel departed with captives,Date vessel departed for homeport,Display in compact mode,Date vessel arrived with captives,First place where captives were landed,First place where captives were purchased,Guns mounted,Cargo,Year of arrival at port of disembarkation,"Voyage duration, homeport to disembarkation (in days)",Place where vessel's voyage began,Principal place where captives were purchased,Principal place where captives were landed,Total embarked,Total disembarked,Captive deaths during crossing,Percentage of captives who died during crossing,Captive Background,Flag of vessel,Percent boys,Percent children,Percent girls,Percent males,Percent men,Percent women,Sterling cash price in Jamaica,Duration of captives' crossing (in days),Flag of vessel.1,Captives carried from 1st port,Captives carried from 2nd port,Captives carried from 3rd port,Captives landed at 1st port,Captives landed at 2nd port,Captives landed at 3rd port,Captives intended to be purchased at 1st place,Outcome of voyage for owner,Outcome of voyage if ship captured,Outcome of voyage for captives,Particular outcome of voyage,Vessel owner,Place where vessel's voyage ended,Places of call before Atlantic crossing,Place registered,Year registered,Resistance,Rig or type of vessel,Show advanced variables in search filters,Second place where captives were landed,Second place where captives were purchased,Vessel name,Date captive embarkation began,Source of data,Third place where captives were landed,Third place where captives were purchased,Tonnage,Standardized tonnage,Captives arrived at 1st port,Total embarked.1,Place constructed,Date vessel's voyage began,Date vessel arrived at homeport,Voyage ID,Year constructed,VOYAGEID2
"Chapelle Maillard, de la",40.0,,56.0,,,,,,,14.0,,1724.0,,,,,367.0,313.0,,,,France,,,,,,,,,France,,,,,,,,Unknown outcome,Unknown,No information on slaves,"Left home port, no further record",,,,,,,,,,,Aventurier,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,340.0,387.1,,,10399.0,1724-10-28T00:00:00Z,,32876,1708.0,
"Terrien, Gr",20.0,,78.0,1725-08-11T00:00:00Z,,,1725-11-02T00:00:00Z,,,14.0,,1725.0,370.0,,,,501.0,478.0,23.0,0.05,,France,0.29654,0.41342,0.11688,0.74675,0.45022,0.13636,,83.0,France,0.0,209.0,292.0,0.0,465.0,462.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Diane,1725-05-30T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,290.0,332.1,478.0,501.0,10399.0,1724-10-28T00:00:00Z,1726-06-26T00:00:00Z,32877,1719.0,
"Kerguenel, Chevalier de",29.0,,88.0,1725-09-07T00:00:00Z,,,1725-10-31T00:00:00Z,,,10.0,,1725.0,368.0,,,,540.0,509.0,,,,France,0.0,0.2888,0.0,0.78177,0.78177,0.21823,,54.0,France,540.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Solide,1725-03-21T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,330.0,376.1,509.0,,10713.0,1724-10-28T00:00:00Z,1726-06-04T00:00:00Z,32878,1714.0,
"Lavigne, A. de",42.0,,91.0,,,,1726-01-01T00:00:00Z,,,20.0,,1726.0,,,,,491.0,431.0,,,,France,,,,,,,,,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Duc du Maine,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,206,216<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,320.0,365.1,431.0,,10726.0,1725-04-21T00:00:00Z,1727-01-14T00:00:00Z,32884,1707.0,
"Bray, F.D. de",32.0,,81.0,1726-01-28T00:00:00Z,,,1726-04-01T00:00:00Z,,,20.0,,1726.0,345.0,,,,358.0,314.0,,,,France,,,,,,,,63.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Fortune,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,206,216<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,250.0,365.3,314.0,,10709.0,1725-04-21T00:00:00Z,1726-12-16T00:00:00Z,32885,1707.0,
Le Seure,24.0,,68.0,1726-01-01T00:00:00Z,,,1726-06-19T00:00:00Z,,,20.0,,1726.0,367.0,,,,314.0,275.0,,,,France,,,,,,,,169.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Dryade,1725-08-29T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,206,217<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,260.0,299.1,275.0,,10715.0,1725-06-17T00:00:00Z,1727-09-04T00:00:00Z,32891,1715.0,
"Boscal de Real, C. de",27.0,,62.0,,,,1726-07-31T00:00:00Z,,,18.0,,1726.0,364.0,,,,278.0,244.0,,,,France,,,,,,,,,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Pontchartrain,1725-09-26T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,206,217<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,220.0,329.3,244.0,,10720.0,1725-08-01T00:00:00Z,1727-09-18T00:00:00Z,32892,1712.0,
"Grasson, L",22.0,,127.0,1726-04-07T00:00:00Z,,,1726-06-13T00:00:00Z,,,28.0,,1726.0,220.0,,,,643.0,569.0,,,,France,0.32513,0.43234,0.10721,0.76626,0.44112,0.12654,,67.0,France,643.0,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Junon,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,206,217<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,600.0,673.1,569.0,,11004.0,1725-11-05T00:00:00Z,1726-08-14T00:00:00Z,32894,1720.0,
"Baston, Fr<br/> La Salle, J de",24.0,,60.0,,,,1733-11-04T00:00:00Z,,,12.0,,1733.0,342.0,,,,431.0,337.0,94.0,0.22,,France,,,,,,,,,France,431.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fluit,,,,Durance,1732-12-29T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,221<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,500.0,563.1,337.0,431.0,10899.0,1732-11-27T00:00:00Z,1734-09-16T00:00:00Z,32927,1712.0,
"Prud'homme, J-B",23.0,,57.0,1734-02-14T00:00:00Z,,,1734-03-16T00:00:00Z,,,14.0,,1734.0,276.0,,,,402.0,383.0,19.0,0.05,,France,,,,,,,,30.0,France,402.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fluit,,,,Gironde,1733-07-13T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,221<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,400.0,453.1,383.0,402.0,10899.0,1733-06-13T00:00:00Z,1735-07-11T00:00:00Z,32928,1714.0,
"Baron, J.N. Solain",24.0,,61.0,1735-08-15T00:00:00Z,1736-01-18T00:00:00Z,,1735-09-22T00:00:00Z,,,12.0,,1735.0,222.0,,,,277.0,261.0,16.0,0.06,,France,0.11923,0.17308,0.05385,0.72692,0.60769,0.21923,,38.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Aurore,1735-03-09T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,222<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,280.0,321.1,260.0,277.0,10726.0,1735-02-12T00:00:00Z,1736-03-21T00:00:00Z,32934,1734.0,
"Bart, I",21.0,,91.0,1736-02-04T00:00:00Z,,,1736-03-09T00:00:00Z,,,18.0,,1736.0,206.0,,,,479.0,473.0,6.0,0.01,,France,,,,,,,,34.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,Slave insurrection,Fregat,,,,Badine,1735-01-10T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,222<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,350.0,398.1,473.0,479.0,10726.0,1735-08-16T00:00:00Z,1736-09-18T00:00:00Z,32935,1712.0,
"Tabouret, J",44.0,,95.0,1736-07-23T00:00:00Z,1737-05-31T00:00:00Z,,1736-09-23T00:00:00Z,,,20.0,,1736.0,389.0,,,,372.0,326.0,,,,France,,,,,,,,62.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Cavalier,1735-11-28T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,222<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,250.0,365.3,,,10433.0,1735-08-31T00:00:00Z,1737-08-02T00:00:00Z,32936,1732.0,
"Jonchery, Symphorien",20.0,,72.0,1736-06-29T00:00:00Z,,,1736-07-18T00:00:00Z,,,10.0,,1736.0,283.0,,,,405.0,389.0,16.0,0.04,,France,,,,,,,,19.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Saint Michel,1735-11-13T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,223<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,290.0,332.1,389.0,405.0,10720.0,1735-10-09T00:00:00Z,1737-01-06T00:00:00Z,32937,1729.0,
"Bienvenu, A.J<br/> Bruno",38.0,,82.0,1737-04-30T00:00:00Z,1738-02-13T00:00:00Z,,1737-09-06T00:00:00Z,,,28.0,,1737.0,374.0,,,,543.0,135.0,408.0,0.75,,France,,,,,,,,129.0,France,543.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Valeur,1737-01-02T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,223<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,360.0,409.1,135.0,543.0,10715.0,1736-08-28T00:00:00Z,1738-04-08T00:00:00Z,32938,1736.0,
"Boisquesnay, T.G. Dujon de",24.0,,74.0,1738-02-24T00:00:00Z,1739-04-16T00:00:00Z,,1738-06-11T00:00:00Z,,,20.0,,1738.0,296.0,,,,400.0,355.0,45.0,0.11,,France,,,,,,,,107.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Vestale,1737-11-19T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,207,223<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999), AHU,SãoTomé,Cx.6,D.85<><p><em>Arquivo Historico Ultramarino</em> (Lisboa)</p>",,,300.0,343.1,355.0,400.0,10715.0,1737-08-19T00:00:00Z,1739-06-21T00:00:00Z,32942,1737.0,
"Durocher-Sorin, N<br/> Leperche",27.0,,73.0,1738-07-05T00:00:00Z,1739-04-25T00:00:00Z,,1738-08-23T00:00:00Z,,,30.0,,1738.0,244.0,,,,442.0,380.0,62.0,0.14,,France,,,,,,,,49.0,France,150.0,292.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Comtesse,1738-01-16T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,198,208,223<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,300.0,343.1,380.0,442.0,10715.0,1737-12-22T00:00:00Z,1739-06-13T00:00:00Z,32945,1729.0,
